task,dataset,alm,N,ACC,P_macro,R_macro,F1_macro,EACC,NACC,CACC
nli,AfriSpeech-200,CLAP,300,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3324867576149988,0.3,0.32,0.38
nli,AfriSpeech-200,MSCLAP,300,0.32,0.21271180764851652,0.32,0.23214578289126356,0.2,0.0,0.76
nli,AfriSpeech-200,MSCLAP_2022,300,0.35,0.3447861589697763,0.35000000000000003,0.34436662947065283,0.22,0.42,0.41
nli,Medical,CLAP,193,0.37823834196891193,0.38681001038115737,0.38675799086757995,0.37253782536079055,0.2602739726027397,0.55,0.35
nli,Medical,MSCLAP,193,0.3005181347150259,0.20185488270594654,0.30639269406392694,0.224636815920398,0.2191780821917808,0.0,0.7
nli,Medical,MSCLAP_2022,193,0.38341968911917096,0.3988017252269323,0.36065449010654493,0.3285773624091381,0.6986301369863014,0.11666666666666667,0.26666666666666666
