variant,model,N,ACC,P_macro,R_macro,F1_macro,EACC,NACC,CACC,unparseable_rate,parseable_ACC
audio_only,af2,2465,0.3281947261663286,0.45821284642718546,0.32897398843930636,0.2644177692669048,0.2994219653179191,0.6825,0.005,0.058823529411764705,0.34870689655172415
audio_only,af3,2465,0.5987829614604463,0.6199306375584817,0.5932707129094413,0.5893976661345067,0.8023121387283237,0.3025,0.675,0.0,0.5987829614604463
audio_only,kimi,2465,0.6154158215010141,0.6403879057613933,0.6081623314065511,0.5327969918247426,0.8832369942196532,0.0775,0.86375,0.00040567951318458417,0.6156655844155844
audio_only,qwen2audio,2465,0.5379310344827586,0.5774635314619435,0.5319291907514451,0.5270310397512669,0.7595375722543353,0.25875,0.5775,0.017038539553752535,0.5472554684275691
audio_plus_transcript,af2,2465,0.3204868154158215,0.5676568212565268,0.3157032755298651,0.27031037557958604,0.49710982658959535,0.4475,0.0025,0.09127789046653144,0.35267857142857145
audio_plus_transcript,af3,2465,0.6202839756592292,0.6154875676727919,0.6183911368015415,0.6122262777781485,0.6901734104046243,0.38125,0.78375,0.0032454361054766734,0.6223036223036224
audio_plus_transcript,kimi,2465,0.626369168356998,0.6419833046904923,0.6189113680154142,0.548969940264071,0.9017341040462428,0.09125,0.86375,0.0,0.626369168356998
audio_plus_transcript,qwen2audio,2465,0.5407707910750507,0.564973623763069,0.5373193641618497,0.5384382092866953,0.6682080924855491,0.3225,0.62125,0.02150101419878296,0.552653399668325
