task,dataset,alm,N,ACC,P_macro,R_macro,F1_macro,ACC_CONSISTENT,ACC_INCONSISTENT
consistency,AfriSpeech-200,CLAP,206,0.5048543689320388,0.5049744035545253,0.5048543689320388,0.5018492176386913,0.42718446601941745,0.5825242718446602
consistency,AfriSpeech-200,MSCLAP,206,0.46601941747572817,0.44671101256467105,0.46601941747572817,0.4128316749585407,0.7669902912621359,0.1650485436893204
consistency,AfriSpeech-200,MSCLAP_2022,206,0.5339805825242718,0.5514338707376231,0.5339805825242718,0.4907817488927799,0.24271844660194175,0.8252427184466019
consistency,AfriSpeech-General,CLAP,116,0.5603448275862069,0.5618336886993603,0.560344827586207,0.5576822429906542,0.6379310344827587,0.4827586206896552
consistency,AfriSpeech-General,MSCLAP,116,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4482758620689655,0.4482758620689655
consistency,AfriSpeech-General,MSCLAP_2022,116,0.5,0.5,0.5,0.396700143472023,0.08620689655172414,0.9137931034482759
consistency,Medical,CLAP,80,0.575,0.5757575757575758,0.575,0.5739348370927319,0.525,0.625
consistency,Medical,MSCLAP,80,0.625,0.6373626373626373,0.625,0.6163682864450128,0.775,0.475
consistency,Medical,MSCLAP_2022,80,0.5,0.5,0.5,0.497171590194846,0.575,0.425
