task,dataset,alm,N,ACC,P_macro,R_macro,F1_macro,ACC_PLAUSIBLE,ACC_IMPLAUSIBLE
plausibility,AfriSpeech-200,CLAP,205,0.4975609756097561,0.49683544303797467,0.49700171330668186,0.49057878356534534,0.6116504854368932,0.38235294117647056
plausibility,AfriSpeech-200,MSCLAP,205,0.5121951219512195,0.5124401913875598,0.5123738815914716,0.5116256908709739,0.47572815533980584,0.5490196078431373
plausibility,AfriSpeech-200,MSCLAP_2022,205,0.4975609756097561,0.4986910994764398,0.49966685703407576,0.38406114174032263,0.06796116504854369,0.9313725490196079
plausibility,AfriSpeech-General,CLAP,116,0.5603448275862069,0.5625963613937712,0.5603448275862069,0.556355455568054,0.6551724137931034,0.46551724137931033
plausibility,AfriSpeech-General,MSCLAP,116,0.5172413793103449,0.5175757575757576,0.5172413793103448,0.5149342891278375,0.5862068965517241,0.4482758620689655
plausibility,AfriSpeech-General,MSCLAP_2022,116,0.5431034482758621,0.5550284629981025,0.5431034482758621,0.5169325056965506,0.3103448275862069,0.7758620689655172
plausibility,Medical,CLAP,80,0.5875,0.606788710907704,0.5875,0.5679921453117329,0.8,0.375
plausibility,Medical,MSCLAP,80,0.4,0.398989898989899,0.4,0.39849624060150374,0.45,0.35
plausibility,Medical,MSCLAP_2022,80,0.5375,0.5419287211740043,0.5375,0.5249558658321297,0.375,0.7
